advent	sự xuất hiện; onset of new period – long before the advent of the Roman Empire (B2)
coordinate	phối hợp – coordinate communal activities (B2)
communal	thuộc cộng đồng – communal activities (B2)
shipment	việc vận chuyển hàng – plan the shipment of goods (B2)
regulate	điều chỉnh – regulate planting and harvesting (B2)
successive	liên tiếp – successive periods of light and darkness (B2)
rotate	quay – earth rotates on its axis (B2)
revolution (astronomy)	vòng quay quỹ đạo – planet's revolution around the sun (B2)
archaeological	thuộc khảo cổ – archaeological evidence (C1)
evidence	bằng chứng – according to archaeological evidence (C1)
solar day	ngày mặt trời (24h ánh sáng+tối) – solar day marked by periods of light and darkness (B1)
lunar month	tháng âm lịch – lunar month following moon phases (B1)
solar year	năm dương lịch – solar year defined by changing seasons (B1)
waxing and waning	tăng rồi giảm (trăng tròn khuyết) – its waxing and waning was conspicuous (B2)
conspicuous	dễ thấy – more conspicuous than the passing of the seasons (B2)
latitude	vĩ độ – at the lower latitudes (B2)
lunar	thuộc mặt trăng – lunar cycle (B2)
seasonal	theo mùa – seasonal agriculture (B2)
agriculture	nông nghiệp – seasonal agriculture was practised (B2)
expand northward	mở rộng về phía bắc – empire expanded northward (C1)
municipal	thuộc thành phố – municipal calendar (B2)
approximate (v)	xấp xỉ – days added to approximate the solar year (B2)
annual flooding	lũ hàng năm – annual flooding of the Nile (B1)
interval	khoảng (thời gian) – each interval of darkness (B2)
temporal hours	giờ theo mùa (không đều) – measure temporal hours (C1)
adopt	tiếp nhận – first adopted by the Greeks (B2)
disseminate	truyền bá – disseminated through Europe (B2)
track	theo dõi – track temporal hours (B2)
sundial	đồng hồ mặt trời – inventors created sundials (B2)
water clock	đồng hồ nước – water clock measured hours at night (B2)
counterpart	đối phần – the sundial's counterpart (B2)
falling water level	mực nước giảm – falling water level denoted passing hour (B2)
inscribe	khắc – lines inscribed on inner surface (C1)
depend (cannot be depended on)	không thể tin cậy – could not always be depended on (B1)
mechanical clock	đồng hồ cơ học – advent of the mechanical clock (B1)
adjust	điều chỉnh – could be adjusted to maintain hours (B2)
maintain	duy trì – maintain temporal hours (B2)
arise (question arose)	nảy sinh – arose the question of when (B2)
equal parts	các phần bằng nhau – divide the day into 24 equal parts (B1)
supersede	thay thế – were superseded by small clock hours (B2)
weight-driven	chạy bằng quả nặng – weight-driven mechanical clock (C1)
revolutionary	mang tính cách mạng – revolutionary aspect (B2)
aspect	khía cạnh – aspect of this timekeeper (B2)
descending weight	trọng vật rơi xuống – descending weight provided motive force (B2)
transfer power	truyền lực – weight that transferred the power (B2)
escapement	bộ thoát – the part called the escapement (C1)
coiled spring (mainspring)	lò xo cuộn/chính – invention of the coiled spring (C1)
maintain constant force	giữ lực ổn định – maintained constant force (B2)
tension	độ căng – changing tension of its mainspring (B2)
pendulum	con lắc – pendulum clock (C1)
swing in a large arc	dao động cung lớn – pendulum swung in a large arc (C1)
variation on	biến thể của – a variation on the original escapement (C1)
anchor escapement	bộ thoát neo – anchor escapement permitted small arc (C1)
lever-based	dựa trên đòn bẩy – lever-based device (C1)
catch and release	bắt và nhả – catches and releases each tooth (C1)
precise amount	lượng chính xác – turn a precise amount (C1)
small arc	cung nhỏ – travel in a very small arc (C1)
beat once a second	đập mỗi giây (nhịp) – pendulum could beat once a second (C1)
long pendulum	con lắc dài – use of a long pendulum (B1)
floor-standing case / grandfather clock	đồng hồ đứng quả lắc – development of grandfather clock (B1)
quartz-crystal clock	đồng hồ thạch anh – quartz-crystal clock regulate operation (C1)
regulate operation	điều chỉnh hoạt động – crystal used to regulate their operation (B2)
beam down	phát xuống – signals beamed down from satellites (C1)
Global Positioning System satellites	vệ tinh GPS – signals beamed down from GPS satellites (B1)
calibrate	hiệu chuẩn – calibrate their operation (B2)
precision navigation equipment	thiết bị dẫn đường chính xác – functions of precision navigation equipment (C1)
stock-trading systems	hệ thống giao dịch chứng khoán – instant stock-trading systems (C1)
power-distribution grids	lưới phân phối điện – power-distribution grids (C1)
day-to-day existence	tuồn sống hằng ngày – day-to-day existence (B1)
dependency on	sự phụ thuộc vào – our dependency on them (B2)
so integral ... that	quá quan trọng đến mức – so integral ... that our dependency (C1)
fail to work	ngừng hoạt động – recognised only when they fail to work (B1)
